"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7629","После оформления заказа его номер появляется в разделе 'В работе'","tests","2025-12-09","passed","2025-12-09","TestOrderFeed","test_order_feed","",""
"","7573","Переход по клику на раздел «Лента заказов»","tests","2025-12-09","passed","2025-12-09","TestMain","test_main_functionality","",""
"","5789","Проверка закрытия всплывающего окна кликом по крестику","tests","2025-12-09","passed","2025-12-09","TestMain","test_main_functionality","",""
"","4143","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2025-12-09","passed","2025-12-09","TestOrderFeed","test_order_feed","",""
"","5030","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2025-12-09","passed","2025-12-09","TestMain","test_main_functionality","",""
"","7887","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","2025-12-09","passed","2025-12-09","TestMain","test_main_functionality","",""
"","4305","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","2025-12-09","passed","2025-12-09","TestOrderFeed","test_order_feed","",""
"","10847","Переход по клику на «Конструктор»","tests","2025-12-09","passed","2025-12-09","TestMain","test_main_functionality","",""
